2024/09/26 04:55:11 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/6c5daf30-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:11 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/6ed47b90-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:11 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/6ed47b90-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:11 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/6ed47b90-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:11 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/6ed47b90-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/700ef760-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/700ef760-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/700ef760-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/Grand%20U/The%20Private%20Residence%20Rajdamri/ELITENEW14203/700ef760-7ca1-11eb-8755-f7e2237d9a8d.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 1/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/MQDC/175%20Whizdom%20Avenue%20Ratchada-Ladprao/ELITENEW17502/Screenshot%202024-09-15%20at%2011.39.10%E2%80%AFPM.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 2/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/MQDC/175%20Whizdom%20Avenue%20Ratchada-Ladprao/ELITENEW17502/Screenshot%202024-09-15%20at%2011.39.10%E2%80%AFPM.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 ERROR : Attempt 3/3 failed with 1 errors and: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/MQDC/175%20Whizdom%20Avenue%20Ratchada-Ladprao/ELITENEW17502/Screenshot%202024-09-15%20at%2011.39.10%E2%80%AFPM.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
2024/09/26 04:55:12 NOTICE: Failed to copy: operation error S3: HeadObject, https response error StatusCode: 0, RequestID: , HostID: , request send failed, Head "https://alist-spaces.sfo3.digitaloceanspaces.com/API/New%20Dev%20Code%20MKT/PHOTO/Condo/MQDC/175%20Whizdom%20Avenue%20Ratchada-Ladprao/ELITENEW17502/Screenshot%202024-09-15%20at%2011.39.10%E2%80%AFPM.webp": dial tcp: lookup alist-spaces.sfo3.digitaloceanspaces.com: no such host
